Source,latitude,longitude,id,location_code,parent_id,region
AFG,33.85639928169076,66.08669022192831,0,AFG,353.0,Asia
AGO,-12.245869036133188,17.47057255231345,1,AGO,352.0,Africa
ALB,41.141353306048785,20.03242643144321,2,ALB,355.0,Europe
ARE,23.86863365334761,54.20671476159633,3,ARE,353.0,Asia
ARG,-35.4468214894951,-65.17536077114173,4,ARG,357.0,South America
ARM,40.21660761230143,45.00029001101479,5,ARM,353.0,Asia
ATA,-80.49198288284343,20.571000569842635,6,ATA,358.0,
ATF,-49.306454911671985,69.5315804704237,7,ATF,358.0,
AUS,-25.730654779726077,134.50277547536595,8,AUS,354.0,Oceania
AUT,47.6139487927463,14.076158884337072,9,AUT,355.0,Europe
AZE,40.22069054766167,47.553909558006055,10,AZE,353.0,Asia
BDI,-3.3773910753554657,29.91389229542573,11,BDI,352.0,Africa
BEL,50.65244095902296,4.580834113854935,12,BEL,355.0,Europe
BEN,9.647430780663699,2.337377553496156,13,BEN,352.0,Africa
BFA,12.311650494136712,-1.77653745205594,14,BFA,352.0,Africa
BGD,23.83946179534406,90.26792827719598,15,BGD,353.0,Asia
BGR,42.7531187620217,25.19511095327711,16,BGR,355.0,Europe
BHS,25.515491725336624,-77.92997080393516,17,BHS,356.0,North America
BIH,44.1807677629747,17.816883270390086,18,BIH,355.0,Europe
BLR,53.50634479481114,27.98135261544803,19,BLR,355.0,Europe
BLZ,17.197089911451545,-88.70342125299318,20,BLZ,356.0,North America
BOL,-16.72898701530584,-64.64140560603113,21,BOL,357.0,South America
BRA,-10.806773643498916,-53.05434003576711,22,BRA,357.0,South America
BRN,4.690250542520635,114.91510877393951,23,BRN,353.0,Asia
BTN,27.427968649102027,90.4724248062037,24,BTN,353.0,Asia
BWA,-22.099711378826413,23.773081465789428,25,BWA,352.0,Africa
CAF,6.5427787059213145,20.374347291243915,26,CAF,352.0,Africa
CAN,61.46907614534896,-98.14238137209708,27,CAN,356.0,North America
CHE,46.79173768366762,8.118300613385486,28,CHE,355.0,Europe
CHL,-39.04701430994844,-71.5206439451643,29,CHL,357.0,South America
CHN,36.555066531858685,103.88361230063249,30,CHN,353.0,Asia
CIV,7.5537550070104915,-5.6120436452252225,31,CIV,352.0,Africa
CMR,5.663095287992696,12.611551546501774,32,CMR,352.0,Africa
COD,-2.8502757110956667,23.582955831479083,33,COD,352.0,Africa
COG,-0.8378010872252886,15.13446176741353,34,COG,352.0,Africa
COL,3.927213862709704,-73.07773208697478,35,COL,357.0,South America
CRI,9.965671127464528,-84.17542309600948,36,CRI,356.0,North America
CUB,21.631751541025228,-78.96068490970256,37,CUB,356.0,North America
CYP,34.90706085094344,33.03955380295407,38,CYP,353.0,Asia
CZE,49.775245294369,15.334558102365815,39,CZE,355.0,Europe
DEU,51.13372269040778,10.288485092742851,40,DEU,355.0,Europe
